Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,KHC,KHC,KHC,KHC,KHC,,,,,,,,
Date,,,,,,,,,,,,,
2017-01-09,59.71901321411133,60.000018529997064,59.3859665437596,59.84390505379357,2482400,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-10,59.60801315307617,59.878611311112444,59.2610918947119,59.56637900242561,2539900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-11,60.1977424621582,60.392017404422106,59.69817529999666,59.75368393881354,2754500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-12,60.65568542480469,60.898529142376304,60.01735185473186,60.246321057126245,2484700,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-13,60.38510513305664,60.66264316054569,60.07149123806415,60.65570325411913,1799100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-17,61.00261688232422,61.040778422530366,60.16306829138578,60.16306829138578,2304800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-18,61.30097198486328,61.46749267051641,60.91936185967499,60.91936185967499,2881800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-19,60.954063415527344,61.35649334159779,60.74591383878619,61.18303271418104,1690600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-20,61.71726989746094,61.751964129579115,61.06506174113129,61.30096558002579,2795500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-23,61.61322021484375,61.717292361886216,61.19691045227976,61.51608268187176,2654100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-24,61.53688049316406,61.88380167254851,61.28015691472462,61.689526659068754,2171100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-25,61.64094161987305,61.939293992683346,61.3425945406589,61.70339017369649,2262100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-26,62.03643798828125,62.37641920788845,61.554212543651616,62.09194134503612,3091900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-27,62.05032730102539,62.28623118087859,61.59932867316765,61.724220519442135,1842800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-30,61.807464599609375,62.09887705386843,61.4952324326782,61.814399210237525,2233600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-01-31,61.95317459106445,62.14050966772907,61.63747509963704,61.68257653943987,2650500,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-02-01,61.34261703491211,61.9844181615124,61.27184162838589,61.67565846544247,1816800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-02-02,61.48136901855469,61.821350276575345,61.280154108494386,61.41198584457452,1826700,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-02-03,61.93929672241211,61.99480537412457,61.502178000768346,61.897667880425956,2205100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-02-06,61.543827056884766,62.02951997850054,61.502198201225575,61.960136787869175,1359800,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2017-02-07,61.6201286315918,61.76583486910389,61.40503922768292,61.55074546519502,2599300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
